Accel X: 844 | Y: -12 | Z: 16192 || Gyro X: 263 | Y: 128 | Z: -100
Accel X: 1228 | Y: -1664 | Z: 17792 || Gyro X: -4185 | Y: -352 | Z: 995
Accel X: 1044 | Y: -8928 | Z: 13728 || Gyro X: 393 | Y: 190 | Z: 270
Accel X: 920 | Y: 36 | Z: 16228 || Gyro X: 228 | Y: 199 | Z: -149
Accel X: 844 | Y: -28 | Z: 16180 || Gyro X: 219 | Y: 193 | Z: -119
Accel X: 868 | Y: 40 | Z: 16240 || Gyro X: 288 | Y: 355 | Z: 328
Accel X: 3632 | Y: -4312 | Z: 12840 || Gyro X: -499 | Y: 7031 | Z: 4800
Accel X: -1132 | Y: -4768 | Z: 17136 || Gyro X: 7152 | Y: 3265 | Z: 12
Accel X: 8092 | Y: 5576 | Z: 13584 || Gyro X: 3666 | Y: -531 | Z: 3992
Accel X: -6016 | Y: 700 | Z: 15788 || Gyro X: 5419 | Y: -2962 | Z: -9135
Accel X: 3280 | Y: -2224 | Z: 15528 || Gyro X: 3702 | Y: -1808 | Z: 1029
Accel X: 848 | Y: -112 | Z: 16252 || Gyro X: 245 | Y: 225 | Z: 100
Accel X: 820 | Y: -72 | Z: 16180 || Gyro X: 247 | Y: 204 | Z: 104
Accel X: 828 | Y: -168 | Z: 16108 || Gyro X: 233 | Y: 209 | Z: -13
Accel X: 912 | Y: -80 | Z: 16060 || Gyro X: 280 | Y: 196 | Z: 85
Accel X: 864 | Y: -164 | Z: 16028 || Gyro X: 258 | Y: 188 | Z: 77
Accel X: 896 | Y: -64 | Z: 16264 || Gyro X: 218 | Y: 186 | Z: 160
Accel X: 844 | Y: -160 | Z: 16112 || Gyro X: 265 | Y: 206 | Z: 149
Accel X: 864 | Y: -52 | Z: 16188 || Gyro X: 217 | Y: 150 | Z: -179
Accel X: 868 | Y: -56 | Z: 16052 || Gyro X: 290 | Y: 74 | Z: -28
Accel X: 868 | Y: -104 | Z: 16068 || Gyro X: 193 | Y: 257 | Z: 171
Accel X: 896 | Y: -44 | Z: 16120 || Gyro X: 248 | Y: 199 | Z: 260
Accel X: 888 | Y: -132 | Z: 16120 || Gyro X: 293 | Y: 181 | Z: -38
Accel X: 864 | Y: -76 | Z: 16128 || Gyro X: 260 | Y: 114 | Z: -87
Accel X: 836 | Y: -72 | Z: 16128 || Gyro X: 237 | Y: 202 | Z: 47
Accel X: 880 | Y: -176 | Z: 16100 || Gyro X: 271 | Y: 136 | Z: -42
Accel X: 848 | Y: -84 | Z: 16216 || Gyro X: 253 | Y: 151 | Z: 46
Accel X: 900 | Y: -100 | Z: 16080 || Gyro X: 263 | Y: 143 | Z: 21
Accel X: 944 | Y: -124 | Z: 16144 || Gyro X: 223 | Y: 235 | Z: 233
Accel X: 832 | Y: -28 | Z: 16208 || Gyro X: 314 | Y: 243 | Z: 285
Accel X: 852 | Y: -76 | Z: 16156 || Gyro X: 231 | Y: 243 | Z: 9
Accel X: 852 | Y: -8 | Z: 16236 || Gyro X: 265 | Y: 203 | Z: 38
Accel X: 888 | Y: -132 | Z: 16064 || Gyro X: 227 | Y: 165 | Z: -35
Accel X: 844 | Y: -108 | Z: 16116 || Gyro X: 209 | Y: 139 | Z: -106
Accel X: 896 | Y: -96 | Z: 16236 || Gyro X: 283 | Y: 181 | Z: 213
Accel X: 916 | Y: -40 | Z: 16108 || Gyro X: 217 | Y: 168 | Z: 156
Accel X: 832 | Y: -60 | Z: 16056 || Gyro X: 309 | Y: 209 | Z: 134
Accel X: 872 | Y: -72 | Z: 16112 || Gyro X: 234 | Y: 190 | Z: 186
Accel X: 828 | Y: -116 | Z: 16184 || Gyro X: 281 | Y: 222 | Z: 110
Accel X: 868 | Y: -96 | Z: 16048 || Gyro X: 264 | Y: 206 | Z: -44
Accel X: 840 | Y: -8 | Z: 16172 || Gyro X: 241 | Y: 197 | Z: -7
Accel X: 860 | Y: -84 | Z: 16232 || Gyro X: 244 | Y: 233 | Z: 242
Accel X: 848 | Y: -76 | Z: 16076 || Gyro X: 331 | Y: 162 | Z: 358
Accel X: 876 | Y: -124 | Z: 16160 || Gyro X: 225 | Y: 192 | Z: -80
Accel X: 860 | Y: -64 | Z: 16176 || Gyro X: 256 | Y: 163 | Z: -122
Accel X: 848 | Y: -76 | Z: 16140 || Gyro X: 251 | Y: 193 | Z: 202
Accel X: 928 | Y: -108 | Z: 16228 || Gyro X: 249 | Y: 264 | Z: 172
Accel X: 880 | Y: -96 | Z: 16080 || Gyro X: 257 | Y: 131 | Z: 217
